_source_file,_row_index,_leaf_label,_leaf_id,_group_path,_text,_semantic_text,_dtype,_concept_label,_concept_score,_concept_source,_code_family,_facet_cond,_facet_task,_facet_variant,_facet_stat,_facet_outcome,_facet_prec
ai-mind-variable-descriptions_in_.csv,10,DMSMDL4,DMS > DMS Recommended Standard.DMSMDL4,DMS > DMS Recommended Standard,Task: DMS | Variant: DMS Recommended Standard | name: DMSMDL4 | description: DMS Median Correct Latency (4 seconds delay): The median latency between the presentation of the response stimuli options and the subject selecting the correct box on their first attempt for trials containing a four second delay. Calculated across all assessed trials containing a four second delay. | Decimal Places: 4,DMS Median Correct Latency (4 seconds delay): The median latency between the presentation of the response stimuli options and the subject selecting the correct box on their first attempt for trials containing a four second delay. Calculated across all assessed trials containing a four second delay.,determine,Correct Latency Mean,0.625,keybert,DMSMDL,4,DMS,DMS Recommended Standard,Median,Other,4
ai-mind-variable-descriptions_in_.csv,11,DMSMDLAD,DMS > DMS Recommended Standard.DMSMDLAD,DMS > DMS Recommended Standard,Task: DMS | Variant: DMS Recommended Standard | name: DMSMDLAD | description: DMS Median Correct Latency (all delays): The median latency between the presentation of the response stimuli options and the subject selecting the correct box on their first attempt for trials containing a delay between target and response stimuli presentation. Calculated across all assessed trials containing a delay. | Decimal Places: 4,DMS Median Correct Latency (all delays): The median latency between the presentation of the response stimuli options and the subject selecting the correct box on their first attempt for trials containing a delay between target and response stimuli presentation. Calculated across all assessed trials containing a delay.,determine,Correct Latency Mean,0.625,keybert,DMSMDL,No Condition,DMS,DMS Recommended Standard,Median,Other,4
ai-mind-variable-descriptions_in_.csv,12,DMSMDLS,DMS > DMS Recommended Standard.DMSMDLS,DMS > DMS Recommended Standard,Task: DMS | Variant: DMS Recommended Standard | name: DMSMDLS | description: DMS Median Correct Latency (simultaneous): The median latency between the presentation of the response stimuli options and the subject selecting the correct box on their first attempt for trials containing a simultaneous presentation of target and response stimuli. Calculated across all assessed trials containing simultaneous presentation. | Decimal Places: 4,DMS Median Correct Latency (simultaneous): The median latency between the presentation of the response stimuli options and the subject selecting the correct box on their first attempt for trials containing a simultaneous presentation of target and response stimuli. Calculated across all assessed trials containing simultaneous presentation.,determine,Correct Latency Mean,0.625,keybert,DMSMDL,No Condition,DMS,DMS Recommended Standard,Median,Other,4
ai-mind-variable-descriptions_in_.csv,13,DMSML,DMS > DMS Recommended Standard.DMSML,DMS > DMS Recommended Standard,Task: DMS | Variant: DMS Recommended Standard | name: DMSML | description: DMS Mean Correct Latency: The mean latency between the presentation of the response stimuli options and the subject selecting the correct box on their first attempt. Calculated across all correct assessed trials (simultaneous and all delays). | Decimal Places: 4,DMS Mean Correct Latency: The mean latency between the presentation of the response stimuli options and the subject selecting the correct box on their first attempt. Calculated across all correct assessed trials (simultaneous and all delays).,determine,Correct Latency Mean,0.625,keybert,DMSML,No Condition,DMS,DMS Recommended Standard,Mean,Other,4
ai-mind-variable-descriptions_in_.csv,14,DMSML0,DMS > DMS Recommended Standard.DMSML0,DMS > DMS Recommended Standard,Task: DMS | Variant: DMS Recommended Standard | name: DMSML0 | description: DMS Mean Correct Latency (0 seconds delay): The mean latency between the presentation of the response stimuli options and the subject selecting the correct box on their first attempt for trials containing a zero second delay. Calculated across all assessed trials containing a zero second delay. | Decimal Places: 4,DMS Mean Correct Latency (0 seconds delay): The mean latency between the presentation of the response stimuli options and the subject selecting the correct box on their first attempt for trials containing a zero second delay. Calculated across all assessed trials containing a zero second delay.,determine,Correct Latency Mean,0.625,keybert,DMSML,0,DMS,DMS Recommended Standard,Mean,Other,4
ai-mind-variable-descriptions_in_.csv,15,DMSML12,DMS > DMS Recommended Standard.DMSML12,DMS > DMS Recommended Standard,Task: DMS | Variant: DMS Recommended Standard | name: DMSML12 | description: DMS Mean Correct Latency (12 seconds delay): The mean latency between the presentation of the response stimuli options and the subject selecting the correct box on their first attempt for trials containing a twelve second delay. Calculated across all assessed trials containing a twelve second delay. | Decimal Places: 4,DMS Mean Correct Latency (12 seconds delay): The mean latency between the presentation of the response stimuli options and the subject selecting the correct box on their first attempt for trials containing a twelve second delay. Calculated across all assessed trials containing a twelve second delay.,determine,Correct Latency Mean,0.625,keybert,DMSML,12,DMS,DMS Recommended Standard,Mean,Other,4
ai-mind-variable-descriptions_in_.csv,16,DMSML4,DMS > DMS Recommended Standard.DMSML4,DMS > DMS Recommended Standard,Task: DMS | Variant: DMS Recommended Standard | name: DMSML4 | description: DMS Mean Correct Latency (4 seconds delay): The mean latency between the presentation of the response stimuli options and the subject selecting the correct box on their first attempt for trials containing a four second delay. Calculated across all assessed trials containing a four second delay. | Decimal Places: 4,DMS Mean Correct Latency (4 seconds delay): The mean latency between the presentation of the response stimuli options and the subject selecting the correct box on their first attempt for trials containing a four second delay. Calculated across all assessed trials containing a four second delay.,determine,Correct Latency Mean,0.625,keybert,DMSML,4,DMS,DMS Recommended Standard,Mean,Other,4
ai-mind-variable-descriptions_in_.csv,17,DMSMLAD,DMS > DMS Recommended Standard.DMSMLAD,DMS > DMS Recommended Standard,Task: DMS | Variant: DMS Recommended Standard | name: DMSMLAD | description: DMS Mean Correct Latency (all delays): The mean latency between the presentation of the response stimuli options and the subject selecting the correct box on their first attempt for trials containing a delay between target and response stimuli presentation. Calculated across all assessed trials containing a delay. | Decimal Places: 4,DMS Mean Correct Latency (all delays): The mean latency between the presentation of the response stimuli options and the subject selecting the correct box on their first attempt for trials containing a delay between target and response stimuli presentation. Calculated across all assessed trials containing a delay.,determine,Correct Latency Mean,0.625,keybert,DMSML,No Condition,DMS,DMS Recommended Standard,Mean,Other,4
ai-mind-variable-descriptions_in_.csv,18,DMSMLS,DMS > DMS Recommended Standard.DMSMLS,DMS > DMS Recommended Standard,Task: DMS | Variant: DMS Recommended Standard | name: DMSMLS | description: DMS Mean Correct Latency (simultaneous): The mean latency between the presentation of the response stimuli options and the subject selecting the correct box on their first attempt for trials containing a simultaneous presentation of target and response stimuli. Calculated across all assessed trials containing simultaneous presentation. | Decimal Places: 4,DMS Mean Correct Latency (simultaneous): The mean latency between the presentation of the response stimuli options and the subject selecting the correct box on their first attempt for trials containing a simultaneous presentation of target and response stimuli. Calculated across all assessed trials containing simultaneous presentation.,determine,Correct Latency Mean,0.625,keybert,DMSML,No Condition,DMS,DMS Recommended Standard,Mean,Other,4
ai-mind-variable-descriptions_in_.csv,19,DMSPC,DMS > DMS Recommended Standard.DMSPC,DMS > DMS Recommended Standard,Task: DMS | Variant: DMS Recommended Standard | name: DMSPC | description: DMS Percent Correct: The percentage of assessment trials during which the subject chose the correct box on their first box choice. Calculated across all assessed trials (simultaneous presentation and all delays). | Decimal Places: 0,DMS Percent Correct: The percentage of assessment trials during which the subject chose the correct box on their first box choice. Calculated across all assessed trials (simultaneous presentation and all delays).,determine,Percent Correct Percentage,0.54,keybert,DMSPC,No Condition,DMS,DMS Recommended Standard,Percent,Other,0
ai-mind-variable-descriptions_in_.csv,20,DMSPC0,DMS > DMS Recommended Standard.DMSPC0,DMS > DMS Recommended Standard,Task: DMS | Variant: DMS Recommended Standard | name: DMSPC0 | description: KEY: DMS Percent Correct (0 seconds delay): The percentage of assessment trials containing a zero second delay during which the subject chose the correct box on their first box choice. Calculated across all assessed trials containing a zero second delay. | Decimal Places: 0,KEY: DMS Percent Correct (0 seconds delay): The percentage of assessment trials containing a zero second delay during which the subject chose the correct box on their first box choice. Calculated across all assessed trials containing a zero second delay.,determine,Percent Correct Percentage,0.54,keybert,DMSPC,0,DMS,DMS Recommended Standard,Percent,Other,0
ai-mind-variable-descriptions_in_.csv,21,DMSPC12,DMS > DMS Recommended Standard.DMSPC12,DMS > DMS Recommended Standard,Task: DMS | Variant: DMS Recommended Standard | name: DMSPC12 | description: KEY: DMS Percent Correct (12 second delay): The percentage of assessment trials containing a twelve second delay during which the subject chose the correct box on their first box choice. Calculated across all assessed trials containing a twelve second delay. | Decimal Places: 0,KEY: DMS Percent Correct (12 second delay): The percentage of assessment trials containing a twelve second delay during which the subject chose the correct box on their first box choice. Calculated across all assessed trials containing a twelve second delay.,determine,Percent Correct Percentage,0.54,keybert,DMSPC,12,DMS,DMS Recommended Standard,Percent,Other,0
ai-mind-variable-descriptions_in_.csv,22,DMSPC4,DMS > DMS Recommended Standard.DMSPC4,DMS > DMS Recommended Standard,Task: DMS | Variant: DMS Recommended Standard | name: DMSPC4 | description: KEY: DMS Percent Correct (4 second delay): The percentage of assessment trials containing a four second delay during which the subject chose the correct box on their first box choice. Calculated across all assessed trials containing a four second delay. | Decimal Places: 0,KEY: DMS Percent Correct (4 second delay): The percentage of assessment trials containing a four second delay during which the subject chose the correct box on their first box choice. Calculated across all assessed trials containing a four second delay.,determine,Percent Correct Percentage,0.54,keybert,DMSPC,4,DMS,DMS Recommended Standard,Percent,Other,0
ai-mind-variable-descriptions_in_.csv,23,DMSPCAD,DMS > DMS Recommended Standard.DMSPCAD,DMS > DMS Recommended Standard,Task: DMS | Variant: DMS Recommended Standard | name: DMSPCAD | description: KEY: DMS Percent Correct (all delays): The percentage of assessment trials containing a delay during which the subject chose the correct box on their first box choice. Calculated across all assessed trials containing a delay. | Decimal Places: 0,KEY: DMS Percent Correct (all delays): The percentage of assessment trials containing a delay during which the subject chose the correct box on their first box choice. Calculated across all assessed trials containing a delay.,determine,Percent Correct Percentage,0.54,keybert,DMSPC,No Condition,DMS,DMS Recommended Standard,Percent,Other,0
ai-mind-variable-descriptions_in_.csv,24,DMSPCS,DMS > DMS Recommended Standard.DMSPCS,DMS > DMS Recommended Standard,Task: DMS | Variant: DMS Recommended Standard | name: DMSPCS | description: KEY: DMS Percent Correct (simultaneous): The percentage of assessment trials where the target and response stimuli were presented simultaneously during which the subject chose the correct box on their first box choice. Calculated across all assessed trials containing the simultaneous presentation of stimuli. | Decimal Places: 0,KEY: DMS Percent Correct (simultaneous): The percentage of assessment trials where the target and response stimuli were presented simultaneously during which the subject chose the correct box on their first box choice. Calculated across all assessed trials containing the simultaneous presentation of stimuli.,determine,Percent Correct Percentage,0.54,keybert,DMSPC,No Condition,DMS,DMS Recommended Standard,Percent,Other,0
ai-mind-variable-descriptions_in_.csv,25,DMSPEGC,DMS > DMS Recommended Standard.DMSPEGC,DMS > DMS Recommended Standard,Task: DMS | Variant: DMS Recommended Standard | name: DMSPEGC | description: DMS Probability of Error Given Correct: This measure reports the probability of an error being made when the previous trial was responded to correctly by the subject. Calculated across all assessed trials (simultaneous and all delays). | Decimal Places: 4,DMS Probability of Error Given Correct: This measure reports the probability of an error being made when the previous trial was responded to correctly by the subject. Calculated across all assessed trials (simultaneous and all delays).,determine,Probability Error Occurring,0.619,keybert,DMSPEG,No Condition,DMS,DMS Recommended Standard,Probability,Error,4
ai-mind-variable-descriptions_in_.csv,26,DMSPEGE,DMS > DMS Recommended Standard.DMSPEGE,DMS > DMS Recommended Standard,Task: DMS | Variant: DMS Recommended Standard | name: DMSPEGE | description: KEY: DMS Probability of Error Given Error: This measure reports the probability of an error occurring when the previous trial was responded to incorrectly. Calculated across all assessed trials (simultaneous and all delays). | Decimal Places: 4,KEY: DMS Probability of Error Given Error: This measure reports the probability of an error occurring when the previous trial was responded to incorrectly. Calculated across all assessed trials (simultaneous and all delays).,determine,Probability Error Occurring,0.619,keybert,DMSPEG,No Condition,DMS,DMS Recommended Standard,Probability,Error,4
ai-mind-variable-descriptions_in_.csv,27,DMSTC,DMS > DMS Recommended Standard.DMSTC,DMS > DMS Recommended Standard,Task: DMS | Variant: DMS Recommended Standard | name: DMSTC | description: DMS Total Correct: The total number of times a subject chose the correct answer on their first box choice. Calculated across all assessed trials (simultaneous presentation and all delays). | Decimal Places: 0,DMS Total Correct: The total number of times a subject chose the correct answer on their first box choice. Calculated across all assessed trials (simultaneous presentation and all delays).,determine,Total Correct,0.507,description_title,DMSTC,No Condition,DMS,DMS Recommended Standard,Total,Other,0
ai-mind-variable-descriptions_in_.csv,28,DMSTC0,DMS > DMS Recommended Standard.DMSTC0,DMS > DMS Recommended Standard,Task: DMS | Variant: DMS Recommended Standard | name: DMSTC0 | description: DMS Total Correct (0 second delay): The total number of times a subject chose the correct answer on their first box choice for trials where the response stimuli appeared on screen after a 0 second delay after the target stimulus was shown. Calculated across all assessed trials which contained a delay of zero seconds. | Decimal Places: 0,DMS Total Correct (0 second delay): The total number of times a subject chose the correct answer on their first box choice for trials where the response stimuli appeared on screen after a 0 second delay after the target stimulus was shown. Calculated across all assessed trials which contained a delay of zero seconds.,determine,Total Correct,0.507,description_title,DMSTC,0,DMS,DMS Recommended Standard,Total,Other,0
ai-mind-variable-descriptions_in_.csv,29,DMSTC12,DMS > DMS Recommended Standard.DMSTC12,DMS > DMS Recommended Standard,Task: DMS | Variant: DMS Recommended Standard | name: DMSTC12 | description: DMS Total Correct (12 second delay): The total number of times a subject chose the correct answer on their first box choice for trials where the response stimuli appeared on screen after a 12 second delay after the target stimulus was shown. Calculated across all assessed trials which contained a delay of twelve seconds. | Decimal Places: 0,DMS Total Correct (12 second delay): The total number of times a subject chose the correct answer on their first box choice for trials where the response stimuli appeared on screen after a 12 second delay after the target stimulus was shown. Calculated across all assessed trials which contained a delay of twelve seconds.,determine,Total Correct,0.507,description_title,DMSTC,12,DMS,DMS Recommended Standard,Total,Other,0
ai-mind-variable-descriptions_in_.csv,30,DMSTC4,DMS > DMS Recommended Standard.DMSTC4,DMS > DMS Recommended Standard,Task: DMS | Variant: DMS Recommended Standard | name: DMSTC4 | description: DMS Total Correct (4 second delay): The total number of times a subject chose the correct answer on their first box choice for trials where the response stimuli appeared on screen after a 4 second delay after the target stimulus was shown. Calculated across all assessed trials which contained a delay of four seconds. | Decimal Places: 0,DMS Total Correct (4 second delay): The total number of times a subject chose the correct answer on their first box choice for trials where the response stimuli appeared on screen after a 4 second delay after the target stimulus was shown. Calculated across all assessed trials which contained a delay of four seconds.,determine,Total Correct,0.507,description_title,DMSTC,4,DMS,DMS Recommended Standard,Total,Other,0
ai-mind-variable-descriptions_in_.csv,31,DMSTCAD,DMS > DMS Recommended Standard.DMSTCAD,DMS > DMS Recommended Standard,Task: DMS | Variant: DMS Recommended Standard | name: DMSTCAD | description: DMS Total Correct (all delays): The total number of times a subject chose the correct answer on their first box choice for all trials where the response stimuli were presented after a delay. Calculated across all assessed trials containing a delay. | Decimal Places: 0,DMS Total Correct (all delays): The total number of times a subject chose the correct answer on their first box choice for all trials where the response stimuli were presented after a delay. Calculated across all assessed trials containing a delay.,determine,Total Correct,0.507,description_title,DMSTC,No Condition,DMS,DMS Recommended Standard,Total,Other,0
ai-mind-variable-descriptions_in_.csv,32,DMSTCS,DMS > DMS Recommended Standard.DMSTCS,DMS > DMS Recommended Standard,Task: DMS | Variant: DMS Recommended Standard | name: DMSTCS | description: DMS Total Correct (simultaneous): The total number of times a subject chose the correct answer on their first box choice for trials where the target stimulus and response stimuli appeared on screen simultaneously. Calculated across all assessed trials that included a simultaneous presentation (no delay) of target and response stimuli. | Decimal Places: 0,DMS Total Correct (simultaneous): The total number of times a subject chose the correct answer on their first box choice for trials where the target stimulus and response stimuli appeared on screen simultaneously. Calculated across all assessed trials that included a simultaneous presentation (no delay) of target and response stimuli.,determine,Total Correct,0.507,description_title,DMSTC,No Condition,DMS,DMS Recommended Standard,Total,Other,0
ai-mind-variable-descriptions_in_.csv,33,DMSTE,DMS > DMS Recommended Standard.DMSTE,DMS > DMS Recommended Standard,"Task: DMS | Variant: DMS Recommended Standard | name: DMSTE | description: DMS Total Errors: The total number of times a subject failed to choose the correct box on their first selection, thus making an error. Calculated across all assessed trials (simultaneous and all delays) regardless of which incorrect box (out of the 3 possible incorrect boxes) was chosen. | Decimal Places: 0","DMS Total Errors: The total number of times a subject failed to choose the correct box on their first selection, thus making an error. Calculated across all assessed trials (simultaneous and all delays) regardless of which incorrect box (out of the 3 possible incorrect boxes) was chosen.",determine,Errors Total,0.604,keybert,DMSTE,No Condition,DMS,DMS Recommended Standard,Total,Errors,0
ai-mind-variable-descriptions_in_.csv,34,DMSTEAD,DMS > DMS Recommended Standard.DMSTEAD,DMS > DMS Recommended Standard,Task: DMS | Variant: DMS Recommended Standard | name: DMSTEAD | description: DMS Total Errors (all delays): The total number of times a subject failed to choose the correct box on their first selection for any trial containing a delay between the presentation of the target stimulus and response stimuli. Calculated across all assessed trials containing a delay component. | Decimal Places: 0,DMS Total Errors (all delays): The total number of times a subject failed to choose the correct box on their first selection for any trial containing a delay between the presentation of the target stimulus and response stimuli. Calculated across all assessed trials containing a delay component.,determine,Errors Total,0.604,keybert,DMSTE,No Condition,DMS,DMS Recommended Standard,Total,Errors,0
ai-mind-variable-descriptions_in_.csv,35,DMSTEC,DMS > DMS Recommended Standard.DMSTEC,DMS > DMS Recommended Standard,"Task: DMS | Variant: DMS Recommended Standard | name: DMSTEC | description: DMS Error (incorrect colour): The number of times that the subject failed to select the correct box on their first selection, and instead chose the distractor stimulus that contained the same pattern/ physical attributes, but different colours. Calculated across all assessed trials (simultaneous and all delays). | Decimal Places: 0","DMS Error (incorrect colour): The number of times that the subject failed to select the correct box on their first selection, and instead chose the distractor stimulus that contained the same pattern/ physical attributes, but different colours. Calculated across all assessed trials (simultaneous and all delays).",determine,Error,0.447,description_title,DMSTEC,No Condition,DMS,DMS Recommended Standard,Other,Error,0
ai-mind-variable-descriptions_in_.csv,36,DMSTECAD,DMS > DMS Recommended Standard.DMSTECAD,DMS > DMS Recommended Standard,"Task: DMS | Variant: DMS Recommended Standard | name: DMSTECAD | description: DMS Error (all delays, incorrect colour): The number of times that the subject failed to select the correct box on their first selection, and instead chose the distractor stimulus that contained the same colour elements, but different physical attributes. Calculated across all assessed trials which contained a delay component. | Decimal Places: 0","DMS Error (all delays, incorrect colour): The number of times that the subject failed to select the correct box on their first selection, and instead chose the distractor stimulus that contained the same colour elements, but different physical attributes. Calculated across all assessed trials which contained a delay component.",determine,Error,0.447,description_title,DMSTEC,No Condition,DMS,DMS Recommended Standard,Other,Error,0
ai-mind-variable-descriptions_in_.csv,37,DMSTED,DMS > DMS Recommended Standard.DMSTED,DMS > DMS Recommended Standard,"Task: DMS | Variant: DMS Recommended Standard | name: DMSTED | description: DMS Error (distractor): The number of times that the subject failed to select the correct box on their first selection, and instead chose the distractor stimulus that contained no common elements to the original target stimulus. Calculated across all assessed trials (simultaneous and all delays). | Decimal Places: 0","DMS Error (distractor): The number of times that the subject failed to select the correct box on their first selection, and instead chose the distractor stimulus that contained no common elements to the original target stimulus. Calculated across all assessed trials (simultaneous and all delays).",determine,Error,0.447,description_title,DMSTED,No Condition,DMS,DMS Recommended Standard,Other,Error,0
ai-mind-variable-descriptions_in_.csv,38,DMSTEDAD,DMS > DMS Recommended Standard.DMSTEDAD,DMS > DMS Recommended Standard,"Task: DMS | Variant: DMS Recommended Standard | name: DMSTEDAD | description: DMS Error (all delays, distractor): The number of times that the subject failed to select the correct box on their first selection, and instead chose the distractor stimulus that contained no common elements to the original target stimulus. Calculated across all assessed trials which contained a delay component. | Decimal Places: 0","DMS Error (all delays, distractor): The number of times that the subject failed to select the correct box on their first selection, and instead chose the distractor stimulus that contained no common elements to the original target stimulus. Calculated across all assessed trials which contained a delay component.",determine,Error,0.447,description_title,DMSTED,No Condition,DMS,DMS Recommended Standard,Other,Error,0
ai-mind-variable-descriptions_in_.csv,39,DMSTEP,DMS > DMS Recommended Standard.DMSTEP,DMS > DMS Recommended Standard,"Task: DMS | Variant: DMS Recommended Standard | name: DMSTEP | description: DMS Error (incorrect pattern): The number of times that the subject failed to select the correct box on their first selection, and instead chose the distractor stimulus that contained the same colour elements, but different pattern/ physical attributes. Calculated across all assessed trials (simultaneous and all delays). | Decimal Places: 0","DMS Error (incorrect pattern): The number of times that the subject failed to select the correct box on their first selection, and instead chose the distractor stimulus that contained the same colour elements, but different pattern/ physical attributes. Calculated across all assessed trials (simultaneous and all delays).",determine,Error,0.447,description_title,DMSTEP,No Condition,DMS,DMS Recommended Standard,Other,Error,0
